名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
大润发(大唐西市店),购物服务,超级市场,超市,西市东街与西市北街交叉口东50米,陕西省,西安市,莲湖区,108.9043758,34.24862696
西市城,购物服务,商场,购物中心,劳动南路118号,陕西省,西安市,莲湖区,108.905259,34.2472082
屈臣氏(大唐西市店),购物服务,超级市场,屈臣氏,劳动南路1号西市时尚生活馆1层,陕西省,西安市,莲湖区,108.905186,34.24879562
大唐西市-生活广场,购物服务,商场,普通商场,劳动南路1号,陕西省,西安市,莲湖区,108.9051979,34.24892756
好再来超市,购物服务,超级市场,超市,劳动南路西北工业大学旺园公寓,陕西省,西安市,莲湖区,108.9047686,34.24586888
艳子水果超市,购物服务,超级市场,超市,劳动南路171号,陕西省,西安市,莲湖区,108.9058352,34.24990695
运动风尚馆,购物服务,商场,商场,西市城购物中心1层,陕西省,西安市,莲湖区,108.902289,34.24646737
屈臣氏(太白路西北大学商城店),购物服务,超级市场,屈臣氏,太白路213号西北大学商城首层,陕西省,西安市,碑林区,108.919165,34.24777353
人人乐(友谊店),购物服务,超级市场,超市,友谊西路246号西工大南门对面,陕西省,西安市,碑林区,108.9123685,34.24222535
友谊购物广场,购物服务,商场,购物中心,友谊西路246号,陕西省,西安市,碑林区,108.9130625,34.24218288
西安市迎宾广场,购物服务,商场,购物中心,太白北路与环城南路交口向南170米路西,陕西省,西安市,莲湖区,108.9181305,34.25173901
便利概念店,购物服务,超级市场,超市,槐荫路附近,陕西省,西安市,莲湖区,108.9128172,34.25050988
惠友便利店,购物服务,超级市场,超市,丰庆路景寓学府售楼处后门,陕西省,西安市,莲湖区,108.9121201,34.25155696
义乌小商品卖场,购物服务,综合市场,小商品市场|购物服务,含光路152号,陕西省,西安市,碑林区,108.9273921,34.24915533
松林生活超市(含光店),购物服务,超级市场,超市,邮电北巷西口15号(张家村),陕西省,西安市,碑林区,108.9279159,34.24898768
民生家乐(红缨路店),购物服务,便民商店/便利店,便民商店/便利店|购物服务,友谊西路167号红缨路1号天金大厦1楼,陕西省,西安市,碑林区,108.9313901,34.2430479
家美家超市(友谊路分店),购物服务,超级市场,超市,友谊西路与边东街交叉口西北50米,陕西省,西安市,碑林区,108.9244929,34.24311239
