名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
西安逍遥弓会(城南射箭场),体育休闲服务,体育休闲服务场所,体育休闲服务场所,曲江新区东三爻堡双龙巷125号,陕西省,西安市,雁塔区,108.9455138,34.17682027
城南足球运动中心,体育休闲服务,运动场馆,足球场,长安南路附近,陕西省,西安市,雁塔区,108.9456922,34.17737172
天祥羽毛球健身休闲中心,体育休闲服务,运动场馆,健身中心,航天产业基地航天大道卡布奇诺社区西门向北200米,陕西省,西安市,长安区,108.9498278,34.17680996
网联网络,体育休闲服务,娱乐场所,网吧,韦曲街道西安国家民用航天产业基地航天西路171家属院隔壁,陕西省,西安市,长安区,108.9507321,34.17278519
天河网络(西安市儿童医院东),体育休闲服务,娱乐场所,网吧,航天大道西口华美学院正对面,陕西省,西安市,长安区,108.9430915,34.17454992
天翔羽毛球馆,体育休闲服务,运动场馆,羽毛球场,八零车行隔壁,陕西省,西安市,长安区,108.9490673,34.17717053
泰鼎跆拳道,体育休闲服务,运动场馆,跆拳道场馆,三爻地铁站向南400米长安南路,陕西省,西安市,雁塔区,108.9420839,34.18170064
若水瑜伽,体育休闲服务,运动场馆,健身中心,雁塔南路航天段56号西延澜山小区6号楼2604室,陕西省,西安市,长安区,108.9573964,34.17920437
四川麻将馆(航天大道店),体育休闲服务,娱乐场所,棋牌室,雁塔南路西200米,陕西省,西安市,长安区,108.9570259,34.17720092
好运来麻将馆,体育休闲服务,娱乐场所,棋牌室,,陕西省,西安市,长安区,108.9567798,34.17609987
鸟窝网咖,体育休闲服务,娱乐场所,网吧,航天大道与神州二路交汇处东南角航北综合市场二楼,陕西省,西安市,长安区,108.9559879,34.17285983
四川汇友麻将馆,体育休闲服务,娱乐场所,棋牌室,神舟二路与航天大道交叉口北150米,陕西省,西安市,长安区,108.9554098,34.17462967
小蚂蚁网络(卡布奇诺国际社区东南),体育休闲服务,娱乐场所,网吧,航天大道中段华美什字向东500米路南2层,陕西省,西安市,长安区,108.952519,34.17362683
红中万能麻将会所(澜山宾馆店),体育休闲服务,娱乐场所,棋牌室,雁塔南路西100米,陕西省,西安市,长安区,108.9581427,34.17804988
陕西越野联盟运动俱乐部航天分队,体育休闲服务,运动场馆,运动场所,航天大道南50米,陕西省,西安市,长安区,108.9539013,34.17317373
天宇菲尔德国际大酒店-游泳馆,体育休闲服务,运动场馆,游泳馆,韦曲街道夏殿航天大道天赐颐府,陕西省,西安市,长安区,108.9647305,34.17257757
