名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
宾馆住宿,住宿服务,旅馆招待所,旅馆招待所,大庆路934号附近,陕西省,西安市,莲湖区,108.8497656,34.27373565
西纺物业资产管理公司招待所,住宿服务,旅馆招待所,旅馆招待所,阿房二路中段陕一针小区向南300米,陕西省,西安市,未央区,108.8422906,34.27590621
西纺招待所,住宿服务,旅馆招待所,旅馆招待所,阿房二路与阿房路交叉口西100米,陕西省,西安市,未央区,108.8487902,34.27469468
桂英招待所,住宿服务,旅馆招待所,旅馆招待所,大庆路930号附近,陕西省,西安市,莲湖区,108.8496866,34.27244605
法士特集团招待所,住宿服务,旅馆招待所,旅馆招待所,丰盛路与枣园南路十字向东60米,陕西省,西安市,莲湖区,108.8558213,34.27431876
西安路客26分店,住宿服务,住宿服务相关,住宿服务相关,枣园西路128号丰盛园-北门53号楼1单元201,陕西省,西安市,莲湖区,108.8592228,34.27914164
三枪酒店桌椅,住宿服务,住宿服务相关,住宿服务相关,枣园西路82号附近,陕西省,西安市,莲湖区,108.8609686,34.27975476
如家快捷酒店(西安城西客运站店),住宿服务,宾馆酒店,经济型连锁酒店,枣园东路39号,陕西省,西安市,莲湖区,108.8690721,34.27524952
枣园招待所(西安莲湖店),住宿服务,旅馆招待所,旅馆招待所,枣园西路,陕西省,西安市,莲湖区,108.8651027,34.27766793
红成宾馆,住宿服务,宾馆酒店,宾馆酒店,枣园东路,陕西省,西安市,莲湖区,108.8706242,34.27433056
快乐驿站(西安枣园西路店),住宿服务,宾馆酒店,宾馆酒店,枣园西路8号(近城西客运站),陕西省,西安市,莲湖区,108.8662136,34.27787018
新都市酒店(城西客运站店),住宿服务,宾馆酒店,宾馆酒店,枣园东路39号(城西客运站西100米),陕西省,西安市,莲湖区,108.8681794,34.27570035
阳光小宾馆(西安枣园西路店),住宿服务,旅馆招待所,旅馆招待所,大马路村34号,陕西省,西安市,莲湖区,108.8639336,34.27803833
吉祥宾馆(西安大马路村店),住宿服务,旅馆招待所,旅馆招待所,"大马路村60号,主街向里100米(近枣园西路)",陕西省,西安市,莲湖区,108.8645051,34.27829293
西冶商务,住宿服务,宾馆酒店,宾馆酒店,枣园西路38号(与汉城北路交叉口西北方),陕西省,西安市,莲湖区,108.8654161,34.27632686
祥泰小宾馆(西安大马路村店),住宿服务,旅馆招待所,旅馆招待所,城西枣园西路大马路村35号,陕西省,西安市,莲湖区,108.8640487,34.27800448
友谊宾馆(枣园店),住宿服务,宾馆酒店,宾馆酒店,枣园路大马路村31号(傻儿平价餐厅向西20米),陕西省,西安市,莲湖区,108.8645442,34.27786116
新开宾馆(枣园西路),住宿服务,旅馆招待所,旅馆招待所,枣园西路56号,陕西省,西安市,莲湖区,108.8642449,34.27794775
鸿运宾馆(枣园店),住宿服务,宾馆酒店,宾馆酒店,枣园西路61号,陕西省,西安市,莲湖区,108.8645291,34.27834394
如家宾馆(枣园西路),住宿服务,宾馆酒店,宾馆酒店,大马路村58号,陕西省,西安市,莲湖区,108.8644941,34.27816197
好心情小宾馆(西安大马路村店),住宿服务,宾馆酒店,宾馆酒店,枣园西路大马路村37号,陕西省,西安市,莲湖区,108.8641759,34.27796566
希成旅馆,住宿服务,旅馆招待所,旅馆招待所,枣园西路北100米,陕西省,西安市,莲湖区,108.8650317,34.27747892
