名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
田宇旭盛苗木种植,公司企业,农林牧渔基地,其它农林牧渔基地,201县道附近,陕西省,西安市,临潼区,109.3548565,34.40627718
临潼区塬区农业专业合作社,公司企业,公司,公司,201县道与203县道交叉口北150米,陕西省,西安市,临潼区,109.3781578,34.40491048
红坊视食品有限公司,公司企业,公司企业,公司企业,,陕西省,西安市,临潼区,109.3810541,34.40281856
陕西省交通建设集团公司北环路收费站,公司企业,公司,公司,尚宏路与机场专用高速出口交叉口东北150米,陕西省,西安市,未央区,108.9095642,34.39310731
陕西省交通建设集团公司机场分公司,公司企业,公司,公司,机场专用高速入口南50米,陕西省,西安市,未央区,108.9095672,34.39313729
西安正麒电气有限公司,公司企业,公司,机械电子,草滩生态产业园尚华路555号,陕西省,西安市,未央区,108.941437,34.40054284
西安市地下铁道有限责任公司运营分公司,公司企业,公司,公司,尚稷路6号,陕西省,西安市,未央区,108.9353388,34.39244142
上海熙能机电设备科技有限公司维修基地,公司企业,公司,机械电子,渭河正阳大桥附近,陕西省,西安市,未央区,108.9408377,34.40038908
西安市地下铁道有限责任公司运营分公司渭河车辆段综合维修基地,公司企业,公司,公司,尚稷路6号西安地铁运营分公司,陕西省,西安市,未央区,108.9392689,34.39332098
西安威力信鸽有限公司,公司企业,公司,公司,未央湖街道环湖北路,陕西省,西安市,未央区,108.946428,34.3958064
华商数码,公司企业,公司,公司,尚贤路,陕西省,西安市,未央区,108.9422268,34.39775487
华商数码信息股份有限公司,公司企业,公司,公司,草滩生态产业园尚华路99号,陕西省,西安市,未央区,108.943142,34.39811086
西安一成机械设备有限公司,公司企业,公司,机械电子,草滩镇华山路8号,陕西省,西安市,未央区,108.9585486,34.39252611
冰晶装饰画,公司企业,公司,广告装饰,兴华路东200米,陕西省,西安市,未央区,108.9601556,34.39362443
西安小雨滴电缆有限公司,公司企业,公司,公司,兴华路8号,陕西省,西安市,未央区,108.9596868,34.40039684
西安路捷广告装饰有限公司,公司企业,公司,广告装饰,柳树林村西安路,陕西省,西安市,未央区,108.9682035,34.3951592
英伦神韵陶瓷库房,公司企业,公司,公司,大明宫华源南库A区西排071号,陕西省,西安市,未央区,108.9698061,34.39480796
陕西金福科技有限责任公司,公司企业,公司,公司,草滩华山分厂301,陕西省,西安市,未央区,108.9629487,34.39758799
角斗士广场砖华源北库区,公司企业,公司,公司,花园路,陕西省,西安市,未央区,108.9710649,34.39609671
普罗旺斯库房,公司企业,公司,公司,华源库区A区2排6-7号,陕西省,西安市,未央区,108.9712691,34.39560741
西安尊力建材有限公司,公司企业,公司企业,公司企业,草滩街道北三环大明宫华源南库A7排,陕西省,西安市,未央区,108.97009,34.39448135
小马奶牛场,公司企业,农林牧渔基地,其它农林牧渔基地,,陕西省,西安市,未央区,108.9621638,34.3965956
西安欧脉汽车科技有限公司,公司企业,公司,公司,向上路8号,陕西省,西安市,未央区,108.964098,34.40167265
闽联企业,公司企业,公司企业,公司企业,华源库区B区东排30号,陕西省,西安市,未央区,108.9714898,34.40100276
中安圣大置业发展有限公司,公司企业,公司,公司,,陕西省,西安市,未央区,108.9628675,34.39218321
长和实业,公司企业,公司,公司,未央湖街道未央湖花园路2号,陕西省,西安市,未央区,108.9767496,34.39612242
