名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
陕西中财担保有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B栋5层B507,陕西省,西安市,雁塔区,108.8891819,34.23669932
陕国投,金融保险服务,金融保险服务机构,金融保险机构,科技路50号金桥国际广场C座1层,陕西省,西安市,雁塔区,108.888147,34.23758262
中国银行ATM(科技路),金融保险服务,自动提款机,中国银行ATM,科技路48号创业广场A栋1层A101,陕西省,西安市,雁塔区,108.8899017,34.23672454
财富管理,金融保险服务,金融保险服务机构,金融保险机构,高新区科技路50号金桥国际广场C座2层,陕西省,西安市,雁塔区,108.88769,34.23747748
陕西三盛投资咨询有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B栋20层B2003,陕西省,西安市,雁塔区,108.8891819,34.23669932
中国邮政储蓄银行24小时自助银行(陕西省分行营业部),金融保险服务,自动提款机,中国邮政储蓄银行ATM,雁塔高新区唐延路5号陕西邮政大厦,陕西省,西安市,雁塔区,108.8855694,34.23483852
安泽投资公司,金融保险服务,金融保险服务机构,金融保险机构,高新区丈八沟街道唐延路与科技路交汇处唐延路1号旺座国际城D座3楼,陕西省,西安市,雁塔区,108.8871581,34.2378971
华福证券,金融保险服务,证券公司,证券公司,唐延路与科技路交汇处旺座国际城A座10层,陕西省,西安市,雁塔区,108.8862251,34.23835952
中大兴业投资有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B栋6层B608,陕西省,西安市,雁塔区,108.8891819,34.23669932
江岳财富,金融保险服务,金融保险服务机构,金融保险机构,唐延路1号旺座国际城A座20层,陕西省,西安市,雁塔区,108.8857281,34.23797343
陕西七方投资有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B栋19层B1904,陕西省,西安市,雁塔区,108.8891819,34.23669932
西安泰信投资担保有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B栋6层B613,陕西省,西安市,雁塔区,108.8891819,34.23669932
兴业银行24小时自助银行(西安分行),金融保险服务,自动提款机,兴业银行ATM,高新路唐延路1号旺座国际大厦A座,陕西省,西安市,雁塔区,108.8857161,34.23820834
陕西省信用再担保有限责任公司,金融保险服务,金融保险服务机构,金融保险机构,唐延路3号旺座国际城B座25层,陕西省,西安市,雁塔区,108.8862881,34.23827558
西安振兴投资发展有限公司,金融保险服务,金融保险服务机构,金融保险机构,科技路48号创业广场B栋18层B1802,陕西省,西安市,雁塔区,108.8891819,34.23669932
陕西商邦金融,金融保险服务,银行,银行,科技路金桥国际广场C座19层,陕西省,西安市,雁塔区,108.887874,34.2373456
