名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
开普敦公寓旧址,风景名胜,风景名胜相关,旅游景点,武康路240号,上海市,上海市,徐汇区,121.4355288,31.20991746
英商锦隆洋行大股东住宅,风景名胜,风景名胜相关,旅游景点,湖南路262号,上海市,上海市,徐汇区,121.4353414,31.21033095
水晶宫,风景名胜,风景名胜相关,旅游景点,乌鲁木齐中路280弄3号,上海市,上海市,徐汇区,121.4415813,31.21337354
南帆广场,风景名胜,风景名胜相关,旅游景点,淮海中路1333号,上海市,上海市,徐汇区,121.4446635,31.21342652
郑洞国旧居,风景名胜,风景名胜,纪念馆,武康路270-274号,上海市,上海市,徐汇区,121.4354997,31.20982445
唐蕴玉旧居,风景名胜,风景名胜,纪念馆,永嘉路598-600号,上海市,上海市,徐汇区,121.4448886,31.20701006
巴塞住宅旧址,风景名胜,风景名胜相关,旅游景点,淮海中路1431号,上海市,上海市,徐汇区,121.4428343,31.21167775
金司林公寓旧址,风景名胜,风景名胜相关,旅游景点,安亭路43号,上海市,上海市,徐汇区,121.4432659,31.20516174
华盛顿公寓旧址,风景名胜,风景名胜相关,旅游景点,衡山路303号,上海市,上海市,徐汇区,121.4407903,31.20481818
蒋介石故居,风景名胜,风景名胜,纪念馆,东平路9号,上海市,上海市,徐汇区,121.4456281,31.21013605
俄国诗人亚历山大·谢尔盖维奇普希金纪念碑,风景名胜,风景名胜,纪念馆,桃江路1-2附近,上海市,上海市,徐汇区,121.4471839,31.21067801
霖生医院旧址,风景名胜,风景名胜,风景名胜,岳阳路190号(近永嘉路),上海市,上海市,徐汇区,121.4475341,31.20680162
孔祥熙旧居,风景名胜,风景名胜,纪念馆,东平路7号,上海市,上海市,徐汇区,121.4459098,31.2101846
胡风旧居,风景名胜,风景名胜,纪念馆,永康路141弄-21号-201,上海市,上海市,徐汇区,121.4519743,31.21191684
哈雄文旧居,风景名胜,风景名胜,纪念馆,永嘉路291弄64号,上海市,上海市,徐汇区,121.4543248,31.21111161
曹天钦·谢希德旧居,风景名胜,风景名胜,风景名胜,建国西路581弄1-6号134室,上海市,上海市,徐汇区,121.4463744,31.20428242
林巧稚旧居,风景名胜,风景名胜,纪念馆,衡山路9弄4号,上海市,上海市,徐汇区,121.4450307,31.20948315
荣智勋住宅旧址,风景名胜,风景名胜相关,旅游景点,永嘉路389号,上海市,上海市,徐汇区,121.4509688,31.20948176
比商鲁义士洋行住宅旧址,风景名胜,风景名胜相关,旅游景点,永嘉路389号,上海市,上海市,徐汇区,121.4509688,31.20948176
花莳涧,风景名胜,风景名胜相关,旅游景点,岳阳路200弄30号,上海市,上海市,徐汇区,121.4478449,31.20641946
定安新澳东方鸵鸟观赏园,风景名胜,风景名胜相关,旅游景点,居丁镇东线高速公路48公里入口处,上海市,上海市,徐汇区,121.4492202,31.20960386
克莱门公寓旧址,风景名胜,风景名胜相关,旅游景点,复兴中路1363弄1-38号,上海市,上海市,徐汇区,121.4471045,31.21280682
交通行职工宿舍旧址,风景名胜,风景名胜相关,旅游景点,永嘉路580弄1-110号,上海市,上海市,徐汇区,121.4460183,31.20738618
黑石公寓旧址,风景名胜,风景名胜,风景名胜,复兴中路1331号,上海市,上海市,徐汇区,121.4478364,31.21297728
雷米坊旧址,风景名胜,风景名胜相关,旅游景点,永康路175弄,上海市,上海市,徐汇区,121.4509686,31.21173367
新四军驻上海办事处,风景名胜,风景名胜,风景名胜,嘉善路140弄15号,上海市,上海市,徐汇区,121.4543507,31.21211719
逖百克洋行住宅旧址,风景名胜,风景名胜相关,旅游景点,太原路160号,上海市,上海市,徐汇区,121.4503633,31.20794616
伊丽莎白公寓旧址,风景名胜,风景名胜,纪念馆,复兴中路1327号,上海市,上海市,徐汇区,121.4484459,31.21301156
南国艺术学院旧址,风景名胜,风景名胜,风景名胜,永嘉路371-381号,上海市,上海市,徐汇区,121.4522903,31.21022137
上海文化广场,风景名胜,公园广场,城市广场,茂名南路178号,上海市,上海市,黄浦区,121.4576199,31.2139461
海华制革厂,风景名胜,风景名胜,风景名胜,泰康路210弄2号,上海市,上海市,黄浦区,121.4646283,31.21014461
绍兴公园,风景名胜,公园广场,公园,绍兴路62号甲号,上海市,上海市,黄浦区,121.4588667,31.21140237
法租界会审公廨旧址,风景名胜,风景名胜,纪念馆,建国中路20-22号,上海市,上海市,黄浦区,121.4646603,31.21184687
上海南站-南广场,风景名胜,公园广场,城市广场,徐家汇路618号日月光中心B2层,上海市,上海市,黄浦区,121.4638992,31.2085145
久华绸厂,风景名胜,风景名胜,风景名胜,泰康路210弄9号,上海市,上海市,黄浦区,121.4644869,31.210634
中国民主促进会旧址,风景名胜,风景名胜,纪念馆,陕西南路233-2号,上海市,上海市,黄浦区,121.4573754,31.21085599
