名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_L纬度
幸福家园超市,购物服务,超级市场,超市,清平综合市场2层,四川省,德阳市,绵竹市,104.1136999,31.53793897
农村淘宝,购物服务,商场,商场,西桥村内,四川省,绵阳市,安州区,104.520471,31.54258574
东兴超市(罗林店),购物服务,超级市场,超市,花兴路中段,四川省,绵阳市,安州区,104.5459484,31.5444006
贵源超市,购物服务,超级市场,超市,花兴路西50米,四川省,绵阳市,安州区,104.5460686,31.54440685
佰联购物中心,购物服务,超级市场,超市,,四川省,绵阳市,安州区,104.5436455,31.54582357
鑫林超市(花兴路),购物服务,超级市场,超市,花兴路225号附近,四川省,绵阳市,安州区,104.5466255,31.54438601
富乐超市,购物服务,超级市场,超市,辽宁大道绵阳佘氏药材有限公司旁,四川省,绵阳市,安州区,104.5449681,31.53719918
兰波超市,购物服务,超级市场,超市,安州区好医生大道北段1,四川省,绵阳市,安州区,104.5479074,31.54566852
帝豪购物中心,购物服务,商场,购物中心,安州区好医生大道中段138,四川省,绵阳市,安州区,104.5501889,31.5437572
海燕超市,购物服务,超级市场,超市,花荄镇金鸿路7号l路,四川省,绵阳市,安州区,104.5508029,31.54107262
九九超市(金鸿路西段),购物服务,超级市场,超市,花荄丽景云天,四川省,绵阳市,安州区,104.5527776,31.54238821
盛玛特购物中心(益昌路店),购物服务,超级市场,超市,安州区花荄罗胜路56号,四川省,绵阳市,安州区,104.5526864,31.54436987
东兴超市(安州花园店),购物服务,超级市场,超市,安州区好医生大道中段63,四川省,绵阳市,安州区,104.5506296,31.54261815
东兴超市(中心街店),购物服务,超级市场,超市,启明星大道,四川省,绵阳市,安州区,104.5570647,31.54566946
惠安超市(罗胜街南段店),购物服务,超级市场,超市,花荄镇罗胜路83号,四川省,绵阳市,安州区,104.5548212,31.54285485
雨嘉园生活小超市,购物服务,超级市场,超市,好医生大道中段与西浦街交叉口西南200米,四川省,绵阳市,安州区,104.5493278,31.5416447
广华超市,购物服务,超级市场,超市|购物服务,安州区龙康花园c区25号,四川省,绵阳市,安州区,104.5567564,31.54509999
花荄蕙联超市,购物服务,超级市场,超市,安州区花兴路9号,四川省,绵阳市,安州区,104.5507857,31.54591817
花荄惠联惠超市,购物服务,超级市场,超市,花 D镇神泉街马国昌清真源旁,四川省,绵阳市,安州区,104.5511542,31.54591887
惠安连锁超市,购物服务,超级市场,超市,好医生大道北段与花兴路交叉口东50米,四川省,绵阳市,安州区,104.5485845,31.54559289
阳光生活超市(中心街南段),购物服务,超级市场,超市,花荄中心街南段,四川省,绵阳市,安州区,104.5608278,31.54041493
华联超市(文胜路东段),购物服务,超级市场,超市,安州区文胜路东段38,四川省,绵阳市,安州区,104.5628807,31.53921907
多又好超市(启明星大道南段),购物服务,超级市场,超市,安州区启明星大道南段201,四川省,绵阳市,安州区,104.562167,31.54172281
小林超市(文苑路东段),购物服务,超级市场,超市,花荄文苑路与中心街交叉口,四川省,绵阳市,安州区,104.5595776,31.54171188
百佳乐超市(文苑路东段),购物服务,超级市场,超市,花荄文苑路东段,四川省,绵阳市,安州区,104.5614643,31.5425207
芳琴超市,购物服务,超级市场,超市,花荄镇花荄启明星大道80号,四川省,绵阳市,安州区,104.5614973,31.54302171
东兴超市(广厦店),购物服务,超级市场,超市,恒源大道北段与步行街交叉口东150米,四川省,绵阳市,安州区,104.5623954,31.53707357
万盛超市(文苑路东段),购物服务,超级市场,超市,安州区文苑路东段219,四川省,绵阳市,安州区,104.5583874,31.54056009
九家超市,购物服务,便民商店/便利店,便民商店/便利店|购物服务,花荄镇中心街南段,四川省,绵阳市,安州区,104.5607688,31.54041784
鑫呈超市(五路口店),购物服务,超级市场,超市,花荄镇五路口文苑路东段,四川省,绵阳市,安州区,104.5589269,31.54099291
德才批发超市018店,购物服务,超级市场,超市,安州区金鸿路东段,四川省,绵阳市,安州区,104.5609617,31.5453677
欧奇摩尔,购物服务,商场,普通商场,安州区恒源大道北段,四川省,绵阳市,安州区,104.5590962,31.53947532
优品一站超市,购物服务,超级市场,超市,金鸿路东段99,四川省,绵阳市,安州区,104.5602781,31.54529566
益昌农业超市,购物服务,超级市场,超市,花荄镇金鸿路东段(滨江花园),四川省,绵阳市,安州区,104.5639472,31.54690491
藏老苗泡脚超市,购物服务,超级市场,超市,安州区花荄广厦C区42,四川省,绵阳市,安州区,104.560883,31.53737229
兴龙超市(育才街),购物服务,超级市场,超市,培城区西南科技大学北门,四川省,绵阳市,涪城区,104.6826742,31.53832825
家家发超市(西科大店),购物服务,超级市场,超市,兴龙街与育才街交叉口东南150米,四川省,绵阳市,涪城区,104.6828388,31.53699107
学生创业超市,购物服务,超级市场,超市,阳光力量健身附近,四川省,绵阳市,涪城区,104.6943272,31.54009145
珍好购物(B3店),购物服务,超级市场,超市,科大路394号(西南科技大学医院西北),四川省,绵阳市,涪城区,104.6964269,31.54272673
迷你百货,购物服务,超级市场,超市,科大路与青羊西街交叉口南50米,四川省,绵阳市,涪城区,104.6966193,31.54233945
家乐佳超市(科大路),购物服务,超级市场,超市,科大路北100米,四川省,绵阳市,涪城区,104.6993763,31.54260401
鑫一家超市(科大路),购物服务,超级市场,超市,青义镇青羊科大路流星花园宾馆,四川省,绵阳市,涪城区,104.6982715,31.54246477
晨曦小超市,购物服务,超级市场,超市,沉山路11号,四川省,绵阳市,游仙区,104.8556997,31.53879512
周氏百货,购物服务,商场,普通商场,西街62号,四川省,绵阳市,游仙区,104.9546585,31.54668201
汇友超市,购物服务,超级市场,超市,堂宏大道与西街交叉口西100米,四川省,绵阳市,游仙区,104.9577054,31.54606882
欢欢超市(安昌路),购物服务,超级市场,超市,圣果街与安昌路交叉口西北100米,四川省,绵阳市,安州区,104.5516795,31.53484386
华丰超市(文胜路西段),购物服务,超级市场,超市,好医生大道南段与文胜路西段交叉口南50米,四川省,绵阳市,安州区,104.5567568,31.53545687
苏咔连锁超市,购物服务,超级市场,超市,中医街健之源大药房旁,四川省,绵阳市,安州区,104.5549628,31.53308001
爱心超市(文胜路西段),购物服务,超级市场,超市,创业路与文胜路西段交叉口东北150米,四川省,绵阳市,安州区,104.5495977,31.53131821
旺客多购物中心,购物服务,超级市场,超市,花荄镇文胜路西段,四川省,绵阳市,安州区,104.5562002,31.53555091
新呈超市,购物服务,超级市场,超市,安州区新城一巷58,四川省,绵阳市,安州区,104.5594587,31.53538828
优客,购物服务,超级市场,超市,花荄镇九曲路二号段海德广场,四川省,绵阳市,安州区,104.5583109,31.52879911
同联购物,购物服务,商场,普通商场,宝龙路飞龙路路口附近,四川省,绵阳市,涪城区,104.6838228,31.5354864
佳和购物,购物服务,商场,普通商场,兴龙东街与飞龙路交叉口东南50米,四川省,绵阳市,涪城区,104.6836942,31.53543364
珍好购物(佳禾C3店),购物服务,商场,普通商场,宝龙路与飞龙路交叉口西50米,四川省,绵阳市,涪城区,104.6838905,31.53604622
红旗连锁,购物服务,超级市场,超市,宝龙路互惠超市旁,四川省,绵阳市,涪城区,104.6909998,31.52944416
绍海超市,购物服务,超级市场,超市,宝灯街与灯塔路交叉口西侧,四川省,绵阳市,涪城区,104.6963987,31.52692631
世纪好又多超市(灯塔路),购物服务,超级市场,超市,青义镇灯塔路113号,四川省,绵阳市,涪城区,104.6998687,31.52731772
仙海水清购物超市,购物服务,超级市场,超市,沉抗镇仙海路21号,四川省,绵阳市,游仙区,104.8506263,31.5365193
华蜀超市,购物服务,超级市场,超市,仙山路仙海水利风景中心学校西210米,四川省,绵阳市,游仙区,104.8527218,31.53682066
华蜀超市(金山村),购物服务,超级市场,超市,磨秀路东50米,四川省,绵阳市,安州区,104.3819039,31.51732278
花亥正好超市,购物服务,超级市场,超市,界牌镇辽宁大道典汇国际南350米,四川省,绵阳市,安州区,104.567993,31.52420136
石岭村农家购物中心,购物服务,商场,购物中心,界青路西50米,四川省,绵阳市,安州区,104.6076671,31.51822631
大榕华购物超市,购物服务,超级市场,超市,裕都大道与014乡道交叉口东南60米,四川省,绵阳市,涪城区,104.6361299,31.5214532
双新超市(龙中店),购物服务,超级市场,超市,龙中社区C区综合楼B1层,四川省,绵阳市,涪城区,104.6828385,31.5222136
家多乐购物中心,购物服务,商场,购物中心|购物服务,宝灯街附近,四川省,绵阳市,涪城区,104.7012738,31.52546374
春燕百货,购物服务,超级市场,超市,安州区华莱士(秀水店),四川省,绵阳市,安州区,104.3336591,31.50824366
鱼具老拱桥加敏百货店,购物服务,超级市场,超市,安州区秀水镇磨秀路秀水中医院,四川省,绵阳市,安州区,104.337431,31.50762766
乐和超市,购物服务,超级市场,超市,裕都大道西50米,四川省,绵阳市,涪城区,104.6432902,31.51639053
鸿源超市,购物服务,超级市场,超市,裕都大道西50米,四川省,绵阳市,涪城区,104.6430668,31.51657988
红旗超市,购物服务,超级市场,超市,长虹大道北段300-8号附近,四川省,绵阳市,涪城区,104.7234964,31.51201104
同加超市,购物服务,超级市场,超市,跃进路北段319号渝阳圣水明珠9栋1层,四川省,绵阳市,涪城区,104.7250352,31.51265564
美家乐买多多超市,购物服务,超级市场,超市,跃进路北段319之11-13,四川省,绵阳市,涪城区,104.7253486,31.51243741
金辉超市(圣水店),购物服务,超级市场,超市,长虹大道北段213之14-16,四川省,绵阳市,涪城区,104.7275226,31.50691641
熹多超市,购物服务,超级市场,超市,跃进路北段208-210号,四川省,绵阳市,涪城区,104.7292861,31.50926785
星星便民超市,购物服务,超级市场,超市,跃进路北段新晨阳花卉旁,四川省,绵阳市,涪城区,104.7290605,31.50957696
雪儿超市(跃进路北段),购物服务,超级市场,超市,城郊乡跃进路北段185号,四川省,绵阳市,涪城区,104.7303692,31.50757935
科学城新华蜀超市,购物服务,超级市场,超市,,四川省,绵阳市,游仙区,104.7338527,31.51619625
芳燕超市,购物服务,超级市场,超市,跃进路北段168号附近,四川省,绵阳市,涪城区,104.7325134,31.50789001
今百福(科学城店),购物服务,超级市场,超市,绵山路64号科学城二区商业大楼,四川省,绵阳市,游仙区,104.7494623,31.50727988
鲜鲜超市,购物服务,超级市场,超市,绵山路春雷派出所南侧120米路东,四川省,绵阳市,游仙区,104.7553081,31.50821383
华蜀连锁超市,购物服务,超级市场,超市,游仙镇民生路96号,四川省,绵阳市,游仙区,104.7645919,31.50934201
老鸭超市,购物服务,超级市场,超市,仙童街与民福路交叉口北150米,四川省,绵阳市,游仙区,104.7637793,31.50764372
同心生活超市,购物服务,超级市场,超市,仙泉街4号(游仙菜市场旁),四川省,绵阳市,游仙区,104.7713425,31.50714638
海蓉超市,购物服务,超级市场,超市,明安路128号28栋12号,四川省,绵阳市,游仙区,104.7827769,31.50705943
顺辉超市,购物服务,超级市场,超市,G93(成渝环线高速),四川省,绵阳市,游仙区,104.788664,31.51231947
温州华联购物中心,购物服务,商场,购物中心,安州区秀水镇秀丰干道26号,四川省,绵阳市,安州区,104.3346705,31.50393432
贵翔购物中心,购物服务,超级市场,超市,西园干道中段41号,四川省,绵阳市,安州区,104.3338856,31.50462871
永惠超市,购物服务,超级市场,超市,105省道附近,四川省,绵阳市,安州区,104.3362954,31.50045875
天福超市,购物服务,超级市场,超市,西园干道中段秀水一小对面,四川省,绵阳市,安州区,104.3333839,31.50630844
华蜀示范店,购物服务,超级市场,超市,秀丰干道54号(新秀苑东),四川省,绵阳市,安州区,104.3351552,31.50388142
华夏超市(安绵大道北段),购物服务,超级市场,超市,界牌镇青安路,四川省,绵阳市,安州区,104.5869453,31.50395592
玖娃超市,购物服务,超级市场,超市,安绵大道南段6-1号附近,四川省,绵阳市,安州区,104.5897459,31.50144512
清山超市,购物服务,超级市场,超市,界牌镇商贸路1号,四川省,绵阳市,安州区,104.5895131,31.50149306
绵阳科创区运鸿购物中心,购物服务,商场,购物中心,教育南路67-8号,四川省,绵阳市,涪城区,104.677327,31.50331628
百思华联阳光购物中心,购物服务,超级市场,超市,教育南路67,四川省,绵阳市,涪城区,104.6771795,31.50325557
鸿运购物中心,购物服务,超级市场,超市,南山实验中学教育园区五方校园广场67-8,四川省,绵阳市,涪城区,104.6771596,31.5032626
煋辉扬购物广场(五方店),购物服务,超级市场,超市,科创园区教育南路五方校园广场,四川省,绵阳市,涪城区,104.6762395,31.50369829
万兴超市(五方店),购物服务,超级市场,超市,科创园街道绵阳市园艺山教育路教育园区五方校园广场,四川省,绵阳市,涪城区,104.6767728,31.50348331
状元郎综合超市,购物服务,超级市场,超市,科创园街道教育园区绵阳中学实验学校后门对面,四川省,绵阳市,涪城区,104.6773121,31.50289237
兴辰购物中心(荣华山庄店),购物服务,超级市场,超市,科创园区西山北路57号荣华山庄2期,四川省,绵阳市,涪城区,104.7152007,31.4986533
圣水购物广场,购物服务,商场,普通商场,一环路北段211号,四川省,绵阳市,涪城区,104.7270776,31.5028393
大正好购物中心,购物服务,商场,购物中心,玉女路与玉龙街交叉口东50米,四川省,绵阳市,涪城区,104.7276565,31.50265589
爽爽平价超市,购物服务,超级市场,超市,下龙溪五社,四川省,绵阳市,涪城区,104.7255487,31.50249155
好一点超市,购物服务,超级市场,超市,玉龙街友好超市东行30米,四川省,绵阳市,涪城区,104.7249669,31.50205009
喜上喜超市,购物服务,超级市场,超市,玉龙街49号附7号,四川省,绵阳市,涪城区,104.7251195,31.50217794
乐一家连锁超市,购物服务,超级市场,超市,圣水社区七组西南(长虹大道北段西),四川省,绵阳市,涪城区,104.7263709,31.50520752
喜多多超市(玉女店),购物服务,超级市场,超市,玉女路109号6路车终点站前50米,四川省,绵阳市,涪城区,104.7276528,31.49680572
华联超市(恒星店),购物服务,超级市场,超市,跃进路北段113号圣水2队,四川省,绵阳市,涪城区,104.732841,31.50432131
华杨购物中心,购物服务,超级市场,超市,长虹大道北段剑门关酒南70米,四川省,绵阳市,涪城区,104.7284428,31.50577889
福客多超市(跃进路北段),购物服务,超级市场,超市,跃进路北段附101之10-11,四川省,绵阳市,涪城区,104.7359011,31.50047032
菜蓝子·生活超市,购物服务,超级市场,超市,跃进路北段与高水北街交叉口东南50米,四川省,绵阳市,涪城区,104.7361707,31.50090314
阳光水岸超市,购物服务,超级市场,超市,圣水南街64-60号,四川省,绵阳市,涪城区,104.7356843,31.50467283
云艺超市,购物服务,超级市场,超市,跃进路北段122号,四川省,绵阳市,涪城区,104.7331005,31.50542702
瑞益超市,购物服务,超级市场,超市,城郊乡玉龙街34号,四川省,绵阳市,涪城区,104.7279659,31.50305561
红旗连锁(涪城跃进路便利店),购物服务,超级市场,超市,跃进路北段100-14号,四川省,绵阳市,涪城区,104.7362556,31.50102408
山河超市,购物服务,超级市场,超市,跃进路北段圣水南街64-51,四川省,绵阳市,涪城区,104.7353089,31.50495897
红旗超市(绵阳涪城翠屏景便利店),购物服务,超级市场,超市,跃进北路100一21号,四川省,绵阳市,涪城区,104.7362096,31.50077014
福安超市(玉女路),购物服务,超级市场,超市,长虹大道北段213之5-7,四川省,绵阳市,涪城区,104.7277521,31.50654329
希望超市(高水店),购物服务,超级市场,超市,跃进路北段93-4号,四川省,绵阳市,涪城区,104.7367789,31.49849622
开心果购物(小岛店),购物服务,超级市场,超市,游仙镇小岛花园城尚岛国际2-1-2,四川省,绵阳市,游仙区,104.7460332,31.50141065
高水天欣超市,购物服务,超级市场,超市,高水中街5之21-23,四川省,绵阳市,涪城区,104.7377784,31.49791492
九龙商城(中绵路),购物服务,商场,普通商场,中绵路西50米,四川省,绵阳市,游仙区,104.7505603,31.50580418
科学城花园超市,购物服务,超级市场,超市,中绵路西50米世纪联华购物中心,四川省,绵阳市,游仙区,104.7516623,31.50507243
世纪华联超市(科学城店),购物服务,超级市场,超市,科学城五区,四川省,绵阳市,游仙区,104.750848,31.50563624
世纪华联购物中心(科学城店),购物服务,超级市场,超市,中绵路西50米,四川省,绵阳市,游仙区,104.750891,31.50564724
山山超市,购物服务,超级市场,超市,游仙镇仙童街二区3幢7号,四川省,绵阳市,游仙区,104.7675315,31.49996729
美邻·美家超市,购物服务,超级市场,超市,游仙东路55号,四川省,绵阳市,游仙区,104.7722109,31.49882029
领阳购物中心,购物服务,超级市场,超市,游仙西路81号顺鑫凯旋城一层,四川省,绵阳市,游仙区,104.7694488,31.50637689
艺渤超市,购物服务,超级市场,超市,民安路128号一区22幢,四川省,绵阳市,游仙区,104.7822348,31.50475508
立元蔬菜超市(三分店),购物服务,超级市场,超市,游仙镇欧家坝千佳幼儿园旁,四川省,绵阳市,游仙区,104.78277,31.50552763
义朵超市,购物服务,超级市场,超市,民康路10号,四川省,绵阳市,游仙区,104.7846756,31.50541904
华亿连锁超市,购物服务,超级市场,超市,游仙镇欧家坝民安路128号,四川省,绵阳市,游仙区,104.783218,31.50667403
旭宝超市,购物服务,超级市场,超市,民安路128号,四川省,绵阳市,游仙区,104.7835852,31.50653151
叡杰平价超市,购物服务,超级市场,超市,古尔沟镇,四川省,阿坝藏族羌族自治州,理县,102.9807928,31.49640885
汶川仙山旅游定点购物中心农副土特产展销厅,购物服务,商场,购物中心,007乡道西50米,四川省,阿坝藏族羌族自治州,汶川县,103.6208488,31.49021604
美力超市,购物服务,超级市场,超市,三堆路46号五七五工厂,四川省,绵阳市,涪城区,104.6437349,31.49519263
安佳超市,购物服务,超级市场,超市,G5京昆高速附近,四川省,绵阳市,涪城区,104.6492796,31.49181263
辉雪超市,购物服务,超级市场,超市,科创园区九华路六号八角社区,四川省,绵阳市,涪城区,104.6760507,31.49115246
豪婷超市,购物服务,超级市场,超市,九盛路,四川省,绵阳市,涪城区,104.6726648,31.48875729
嘉何超市,购物服务,超级市场,超市,园艺山科创园八角北路九洲家园256号,四川省,绵阳市,涪城区,104.6788797,31.48953635
飞亚购物,购物服务,超级市场,超市,上马北街32号附1-8号,四川省,绵阳市,涪城区,104.6969648,31.4925828
兴园便民超市,购物服务,超级市场,超市,科创园区上马西街67号7栋1号,四川省,绵阳市,涪城区,104.6950066,31.49050334
汇家超市,购物服务,超级市场,超市,园艺东街与园艺街北段交叉口西北150米,四川省,绵阳市,涪城区,104.7030265,31.4922764
长辛生活超市(园艺山一店),购物服务,超级市场,超市,科创园区剑南路西段388号长兴星城6-1-8号,四川省,绵阳市,涪城区,104.7029168,31.49195061
瑞家超市,购物服务,超级市场,超市,园艺东街与园艺中街交叉口东50米,四川省,绵阳市,涪城区,104.7058619,31.48975366
森林福超市,购物服务,超级市场,超市|购物服务,田森·奥林春天(西区西南二门)附近,四川省,绵阳市,涪城区,104.7063256,31.49132976
家鑫超市,购物服务,超级市场,超市,上马北街15号-2幢-5号,四川省,绵阳市,涪城区,104.6989192,31.49058497
17购果蔬超市,购物服务,超级市场,超市,子云北街卓信龙岭附近(倍特·领尚附近),四川省,绵阳市,涪城区,104.706193,31.48931226
老乡好超市(园艺店),购物服务,超级市场,超市|购物服务,园艺东街北段36号凯泰欧城7-1-1号,四川省,绵阳市,涪城区,104.7076402,31.48841538
红旗连锁(园艺街北段便利店),购物服务,超级市场,超市,园艺街北段135号9憧一层4号,四川省,绵阳市,涪城区,104.7061153,31.48798957
兴乐福超市,购物服务,超级市场,超市,科创园区园艺东街北段36号凯泰欧城一幢,四川省,绵阳市,涪城区,104.7069312,31.48718155
嘉萱超市,购物服务,超级市场,超市,玉泉中路与玉泉北街交叉口西北150米,四川省,绵阳市,涪城区,104.7120529,31.48825762
五兴超市(园艺店),购物服务,超级市场,超市|购物服务,奥林春天东区8栋1单元105-107号,四川省,绵阳市,涪城区,104.7116668,31.48876203
鲜惠超市(虹景店),购物服务,超级市场,超市,科园路128-13号,四川省,绵阳市,涪城区,104.7165407,31.49427142
一家好(岭南神韵店),购物服务,便民商店/便利店,便民商店/便利店|购物服务,子云北街,四川省,绵阳市,涪城区,104.7079324,31.48853596
开心果购物(中华坊店),购物服务,超级市场,超市,科创园区九州大道附88-2,四川省,绵阳市,涪城区,104.7174578,31.48992506
开开心超市,购物服务,超级市场,超市,玉泉北街与玉泉中路交叉口东100米,四川省,绵阳市,涪城区,104.7143004,31.48684412
一家好便利连锁,购物服务,超级市场,超市,园艺东街40号附近,四川省,绵阳市,涪城区,104.7080292,31.48847684
玲妹超市,购物服务,超级市场,超市,规划路附近,四川省,绵阳市,涪城区,104.7213011,31.49088999
欧伦购物(科园店),购物服务,超级市场,超市,科园社区二十四号楼2楼,四川省,绵阳市,涪城区,104.7201995,31.49092906
快乐购超市,购物服务,超级市场,超市,科创园街道科园社区虹色景苑中门对面,四川省,绵阳市,涪城区,104.7183636,31.49294864
乔-玛特购物广场,购物服务,商场,购物中心,长虹大道北段与高水南街交叉口西100米,四川省,绵阳市,涪城区,104.7355621,31.49179273
乔-玛特,购物服务,超级市场,超市,长虹大道北段67号一层(高水南街),四川省,绵阳市,涪城区,104.7354962,31.49170477
红旗超市,购物服务,超级市场,超市,高水南街46号兴苑御景名城1栋1层,四川省,绵阳市,涪城区,104.7325741,31.49132032
百穗超市(高水路),购物服务,便民商店/便利店,便民商店/便利店|购物服务,高水路153-8号,四川省,绵阳市,涪城区,104.733783,31.49185059
好多超市,购物服务,超级市场,超市,高水南街与高水路交叉口西南50米,四川省,绵阳市,涪城区,104.7338569,31.49108466
大顺好超市(平政店),购物服务,超级市场,超市,长虹大道北段与高水南街交叉口东南100米,四川省,绵阳市,涪城区,104.7367213,31.49105834
今百福(虹高店),购物服务,超级市场,超市,城郊乡长虹大道北段76号虹高市场,四川省,绵阳市,涪城区,104.7358485,31.49526608
广尔多超市,购物服务,超级市场,超市,高水中街25-22号,四川省,绵阳市,涪城区,104.7298507,31.49541038
双新超市(虹高店),购物服务,超级市场,超市,长虹大道北段虹高市场c区,四川省,绵阳市,涪城区,104.7359134,31.4949541
易多超市(高平巷旗舰店),购物服务,超级市场,超市,高水中街25-22号,四川省,绵阳市,涪城区,104.7297739,31.49555841
嘉鸣超市(高水店),购物服务,超级市场,超市,高水中街附16号,四川省,绵阳市,涪城区,104.733696,31.49617899
汇集鲜生活超市(宇虹北街店),购物服务,超级市场,超市,宇虹北街西段63号1栋1层8-10号,四川省,绵阳市,涪城区,104.7329536,31.48843055
果园超市,购物服务,超级市场,超市,高水南街26-4号,四川省,绵阳市,涪城区,104.7368601,31.49165619
红旗超市(绵阳涪城跃进路便利店),购物服务,超级市场,超市,长虹·世纪城(西区),四川省,绵阳市,涪城区,104.7360073,31.49357026
美联超市(高水第一居民区西北),购物服务,超级市场,超市,跃进路北段87-9号,四川省,绵阳市,涪城区,104.7375188,31.4966522
鼎名超市,购物服务,超级市场,超市,宇虹北街西二巷平政第十居民区A区旁,四川省,绵阳市,涪城区,104.7340617,31.48854595
绵阳皮革城,购物服务,商场,普通商场,五一广场,四川省,绵阳市,涪城区,104.7425481,31.48861896
华润万家(平政店),购物服务,超级市场,华润,宇虹北街31-2号,四川省,绵阳市,涪城区,104.7385117,31.48907097
西蜀名居超市,购物服务,超级市场,超市,跃进北路55号,四川省,绵阳市,涪城区,104.7413657,31.48914013
红旗连锁,购物服务,超级市场,超市,跃进路北段83号,四川省,绵阳市,涪城区,104.7387541,31.49394215
鸿森快捷超市,购物服务,超级市场,超市,跃进路长虹世纪城二期,四川省,绵阳市,涪城区,104.7387341,31.49415113
勤义副食,购物服务,超级市场,超市,飞虹路68号,四川省,绵阳市,涪城区,104.7385627,31.48777315
惠多超市,购物服务,超级市场,超市,游仙镇小岛社区80栋,四川省,绵阳市,游仙区,104.7511303,31.49365896
亮哥超市,购物服务,超级市场,超市,游仙镇小岛社区25栋,四川省,绵阳市,游仙区,104.749446,31.49315886
海龙超市(科学城六区分店),购物服务,超级市场,超市,六里居委会2-159-1,四川省,绵阳市,游仙区,104.7568929,31.49038287
民福超市,购物服务,超级市场,超市,中经路30-6号,四川省,绵阳市,游仙区,104.7628566,31.49049461
华联超市,购物服务,超级市场,超市,中经路32号,四川省,绵阳市,游仙区,104.7625387,31.49079439
大顺好超市(六里村店),购物服务,超级市场,超市,游仙镇六里村中经路216号,四川省,绵阳市,游仙区,104.7607016,31.49054046
易多超市(龙都店),购物服务,超级市场,超市,中经路19-21号龙都金满庭,四川省,绵阳市,游仙区,104.7612032,31.49388321
金福来超市(东山郡店),购物服务,超级市场,超市,一环路北段26号2幢1层2号,四川省,绵阳市,游仙区,104.7623019,31.48878656
宜乐超市,购物服务,超级市场,超市,中经路8号,四川省,绵阳市,游仙区,104.7621569,31.48915743
美联超市(久远店),购物服务,超级市场,超市,中经路52之30-35,四川省,绵阳市,游仙区,104.7608223,31.49568475
兴联购物(六里村店),购物服务,超级市场,超市,一环路北段与中经路交叉口东南50米,四川省,绵阳市,游仙区,104.7626258,31.48799487
城东超市(城东逸景二期·沁园西南),购物服务,超级市场,超市,中经南路18号城东逸景二期·沁园附近,四川省,绵阳市,游仙区,104.759838,31.49100997
汇源购物中心(六里村店),购物服务,超级市场,超市,一环路北段-16号,四川省,绵阳市,游仙区,104.7669413,31.48833858
盛玛特购物中心(六里路店),购物服务,商场,购物中心,一环路北段9号交警三大队斜对面,四川省,绵阳市,游仙区,104.7666474,31.48765448
健康粮油平价超市,购物服务,超级市场,超市,华兴上街43-17号,四川省,绵阳市,游仙区,104.7661401,31.49570191
余家超市(城东逸景一期沁园西南),购物服务,超级市场,超市,六里村四居民点,四川省,绵阳市,游仙区,104.758304,31.49009645
性趣520,购物服务,超级市场,超市,阳光路33号,四川省,绵阳市,游仙区,104.7676312,31.48679233
绵阳师范学院北校区后勤集团学生超市,购物服务,超级市场,超市,沙汀路与行知路交叉口西100米,四川省,绵阳市,游仙区,104.7765491,31.49626586
家家乐超市(仙人路一段店),购物服务,超级市场,超市,仙人路一段与行知路交叉口西南100米,四川省,绵阳市,游仙区,104.78062,31.4925049
欧啦购物,购物服务,超级市场,超市,芙蓉小区O区5排,四川省,绵阳市,游仙区,104.7820746,31.48896517
芙蓉百货超市,购物服务,超级市场,超市,燕祥超市(仙人路一段南),四川省,绵阳市,游仙区,104.779983,31.48918367
乐哆哆超市,购物服务,超级市场,超市,游仙镇仙人路一段芙蓉小区3-31号,四川省,绵阳市,游仙区,104.7786898,31.48888426
天宝超市(芙蓉店),购物服务,超级市场,超市,游仙镇芙蓉小区n区3-1-5,四川省,绵阳市,游仙区,104.7797741,31.48762368
物美超市,购物服务,超级市场,超市,108国道,四川省,绵阳市,游仙区,104.867929,31.49553205
信德超市(汶川店),购物服务,超级市场,超市,东街1号附11-13号,四川省,阿坝藏族羌族自治州,汶川县,103.5835881,31.47981675
德惠超市(汶川店),购物服务,超级市场,超市,威州镇岷江路上段,四川省,阿坝藏族羌族自治州,汶川县,103.5827529,31.47946334
家家福超市,购物服务,超级市场,超市,凤洲路与西街交叉口东北50米,四川省,阿坝藏族羌族自治州,汶川县,103.5819285,31.48320224
鑫兴超市(双河店),购物服务,超级市场,超市,威州镇较场街上段29号,四川省,阿坝藏族羌族自治州,汶川县,103.5795098,31.47711763
宜多超市,购物服务,超级市场,超市,兴安大道西200米,四川省,绵阳市,涪城区,104.5956622,31.48571613
五星兴联购物中心(临江旗舰店),购物服务,商场,购物中心,二环路与016乡道交叉口南100米,四川省,绵阳市,涪城区,104.6612548,31.48217916
泰兴佰特超市,购物服务,超级市场,超市,016乡道西50米,四川省,绵阳市,涪城区,104.6626275,31.47969296
向春超市,购物服务,超级市场,超市,虹阳街与普明北路东段交叉口北300米,四川省,绵阳市,涪城区,104.6630642,31.47949317
佰利家超市(普明北路西段),购物服务,超级市场,超市,普明北路西段10号,四川省,绵阳市,涪城区,104.6619847,31.47704663
齐齐百货超市,购物服务,超级市场,超市,普明北路720号科发市场a-5,四川省,绵阳市,涪城区,104.6686004,31.47713497
新联购物(八角分店),购物服务,超级市场,超市,科创园街道八角新村9组,四川省,绵阳市,涪城区,104.6835254,31.48042315
祥和茶楼,购物服务,超级市场,超市,园艺山八角南路,四川省,绵阳市,涪城区,104.6857404,31.48082904
