名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_L纬度
华地财富广场,购物服务,商场,购物中心,天山北路与长江东路交叉口北50米,四川省,德阳市,旌阳区,104.403435,31.12905883
屈臣氏(德阳嘉茂店),购物服务,超级市场,屈臣氏,天山北路6号凯德广场1层,四川省,德阳市,旌阳区,104.4021635,31.13021404
丰联超市(凯江新城店),购物服务,超级市场,超市,凯江路47号附近,四川省,德阳市,旌阳区,104.4043574,31.13428826
红旗超市(宝山街店),购物服务,超级市场,超市,凯江路8号1幢,四川省,德阳市,旌阳区,104.3991489,31.13477452
红旗连锁超市,购物服务,超级市场,超市,佛山街一段与凯江路一段交叉口北50米,四川省,德阳市,旌阳区,104.4064049,31.13339125
摩尔万家,购物服务,超级市场,超市,宝山街26号,四川省,德阳市,旌阳区,104.3991469,31.13541019
乐口族(南泉路店),购物服务,超级市场,超市,佛山街二段79号,四川省,德阳市,旌阳区,104.4061258,31.13555604
金华综合超市,购物服务,超级市场,超市,乐山街21号附近,四川省,德阳市,旌阳区,104.4048082,31.13502497
银涌超市,购物服务,超级市场,超市,南泉路298号,四川省,德阳市,旌阳区,104.4072746,31.13533451
麦乐优选,购物服务,超级市场,超市,庐山南路一段36号,四川省,德阳市,旌阳区,104.4076759,31.12678614
信心科联超市,购物服务,超级市场,超市,龙泉山北路68号,四川省,德阳市,旌阳区,104.4130194,31.13215986
联谊便民店,购物服务,超级市场,超市,凯江路二段90号附近,四川省,德阳市,旌阳区,104.4117844,31.13145053
600便民店(力创店),购物服务,超级市场,超市,凯江路二段88号力创锦苑1栋1-2号,四川省,德阳市,旌阳区,104.4116424,31.13159238
富江超市(庐山南路一段),购物服务,超级市场,超市,庐山南路1段20号,四川省,德阳市,旌阳区,104.4078288,31.12774369
大众超市(警校店),购物服务,超级市场,超市,南泉路461-1465号,四川省,德阳市,旌阳区,104.4112572,31.13521828
农夫生鲜超市,购物服务,超级市场,超市,旌阳街道南泉路东湖尚领小区一楼门面,四川省,德阳市,旌阳区,104.4162709,31.13465074
鲜惠隆超市,购物服务,超级市场,超市,屏山街199号弘顺国际广场1栋负1层-1层,四川省,德阳市,旌阳区,104.4118601,31.13609714
一棵树超市,购物服务,超级市场,超市,东湖乡屏山街142号,四川省,德阳市,旌阳区,104.4116361,31.13631391
爱心超市,购物服务,超级市场,超市,南泉路与金兰巷交叉口西南50米,四川省,德阳市,旌阳区,104.4078285,31.13525575
琎琳商行自选超市,购物服务,超级市场,超市,东湖乡屏山街自建房114号,四川省,德阳市,旌阳区,104.4114812,31.13562918
同心超市,购物服务,超级市场,超市,建黄路南50米,四川省,绵阳市,三台县,104.8346901,31.13631718
开心自由麻将,购物服务,超级市场,超市,元顺街与光荣路交叉口南100米,四川省,德阳市,什邡市,104.1559571,31.12420211
众杰超市(光荣路店),购物服务,超级市场,超市,元石镇元石派出所旁,四川省,德阳市,什邡市,104.1559812,31.12251604
无名配送超市(爱心店),购物服务,超级市场,超市,清云路160号附近,四川省,德阳市,什邡市,104.153206,31.12632404
永奇超市,购物服务,超级市场,超市,元顺街71号,四川省,德阳市,什邡市,104.1561434,31.12506799
美厨室超市,购物服务,超级市场,超市,元通街与通顺街交叉口西南50米,四川省,德阳市,什邡市,104.1550263,31.12679805
三思平价便利店,购物服务,超级市场,超市,通站西路与金河西路交叉口东南100米,四川省,德阳市,什邡市,104.1657756,31.12224732
富江超市(十分店),购物服务,超级市场,超市,外西街与金河西路交叉口东北50米,四川省,德阳市,什邡市,104.1641825,31.12449415
百盛广场,购物服务,商场,购物中心,蓥峰北路83号,四川省,德阳市,什邡市,104.1662293,31.12621008
富江超市(三百九十七分店),购物服务,超级市场,超市,亭江西路186-190号,四川省,德阳市,什邡市,104.1610345,31.12554272
得力超市,购物服务,超级市场,超市,通站西路与金河西路交叉口东南150米,四川省,德阳市,什邡市,104.1673206,31.12091493
客卖隆精致超市,购物服务,超级市场,超市,蓥峰北路83号,四川省,德阳市,什邡市,104.1662283,31.12620908
红旗超市(什邡方亭雅筑便利店),购物服务,超级市场,超市,西顺城街355号,四川省,德阳市,什邡市,104.1670349,31.1241157
千花超市,购物服务,超级市场,超市,方亭镇金河南路173号,四川省,德阳市,什邡市,104.1752776,31.12235513
创兴超市(金河南路),购物服务,超级市场,超市,金河南路178号,四川省,德阳市,什邡市,104.1720816,31.12138265
富江超市(蓥峰南路店),购物服务,超级市场,超市|购物服务,竹溪公园旁边,四川省,德阳市,什邡市,104.1753898,31.12289006
丛购超市,购物服务,超级市场,超市,永乐巷与竹园南路交叉口北50米,四川省,德阳市,什邡市,104.1717458,31.12466528
鑫盛超市(永宁街店),购物服务,超级市场,超市,永宁街117-119号,四川省,德阳市,什邡市,104.1742706,31.12453709
友谊超市(金河南路),购物服务,超级市场,超市,康宁街与金河南路交叉口西北50米,四川省,德阳市,什邡市,104.1766661,31.12413278
顺心超市,购物服务,超级市场,超市,蓥峰南路157号,四川省,德阳市,什邡市,104.1729995,31.11819907
