名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
YEAR年代啤酒馆,体育休闲服务,娱乐场所,酒吧|餐饮服务,双化街175号,四川省,成都市,双流区,104.0898893,30.5543238
艾迦网咖,体育休闲服务,娱乐场所,网吧,中和街道香榭国际3期4栋2层,四川省,成都市,双流区,104.0921802,30.55549593
魔力鸟网咖(高新店),体育休闲服务,娱乐场所,网吧,高新区中和大道三段117号1幢2层202号,四川省,成都市,双流区,104.0882763,30.55326363
沐禾网咖(高新店),体育休闲服务,娱乐场所,网吧,高新区中和大道三段117号华谊铂仕公馆1栋2层201号,四川省,成都市,双流区,104.0886131,30.55259375
热度健身(成都店),体育休闲服务,体育休闲服务场所,体育休闲服务场所,高新区中和中柏路276号1栋2单元2层,四川省,成都市,双流区,104.092623,30.55583974
Magic麦咭客KTV(中和形象店),体育休闲服务,娱乐场所,KTV,高新区中柏路276号中和镇香榭国际三期(香榭国际6幢2楼),四川省,成都市,双流区,104.0924991,30.55528895
179八,体育休闲服务,娱乐场所,酒吧,高新区中和大道三段117号柏仕公馆(双化桥街3-5号),四川省,成都市,双流区,104.0886541,30.55275268
鑫巢网吧,体育休闲服务,娱乐场所,网吧,双化桥街9-17,四川省,成都市,双流区,104.0885202,30.55294866
Miracle健身恒温游泳馆(社区旗舰店),体育休闲服务,体育休闲服务场所,体育休闲服务场所,中柏大道276号附近,四川省,成都市,双流区,104.0922642,30.55508105
檬多网咖,体育休闲服务,娱乐场所,网吧,中柏路220号,四川省,成都市,双流区,104.0921922,30.55680948
魔力鸟电竞,体育休闲服务,娱乐场所,游戏厅,双化街87号附近,四川省,成都市,双流区,104.0882743,30.55326363
青朋棋牌室,体育休闲服务,娱乐场所,棋牌室,和美路和美家园2期,四川省,成都市,双流区,104.0886572,30.55058541
新梦幻网咖,体育休闲服务,娱乐场所,网吧,中和街道和美路160-170号,四川省,成都市,双流区,104.0888531,30.55067832
天行伟龙国际跆拳道,体育休闲服务,运动场馆,跆拳道场馆,龙祥佳苑,四川省,成都市,双流区,104.0965472,30.5494357
龙翔医院活动中心,体育休闲服务,休闲场所,休闲场所,中和街道龙祥佳苑一期,四川省,成都市,双流区,104.099751,30.54747869
七彩田野-拓展基地,体育休闲服务,体育休闲服务场所,体育休闲服务场所,琉新路88号,四川省,成都市,锦江区,104.1163597,30.55444693
七彩田野-篮球场,体育休闲服务,体育休闲服务场所,体育休闲服务场所,中胜路北100米,四川省,成都市,锦江区,104.1164718,30.55389522
成都嘉御马会,体育休闲服务,体育休闲服务场所,体育休闲服务场所,三圣街道办事处琉璃新路88号B3-B4,四川省,成都市,锦江区,104.1163656,30.55582647
成都嘉御骏业马术俱乐部,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,锦江区,104.1163656,30.55582647
七彩田野儿童游乐园游客休息中心,体育休闲服务,体育休闲服务场所,体育休闲服务场所,中胜路东100米,四川省,成都市,锦江区,104.1110243,30.55670422
熊家大堰鱼塘,体育休闲服务,休闲场所,垂钓园,中胜路北150米,四川省,成都市,锦江区,104.1188487,30.5533815
梦媛茶坊,体育休闲服务,休闲场所,休闲场所,新兴镇小桥村四组,四川省,成都市,双流区,104.1415546,30.55305274
超越时空网络会所,体育休闲服务,娱乐场所,网吧,新兴镇小桥村4组,四川省,成都市,双流区,104.1415165,30.55460616
雨轩阁渔乐烩,体育休闲服务,休闲场所,休闲场所,大面街道办龙华社区12组,四川省,成都市,龙泉驿区,104.1796124,30.55451599
思必好时尚网络阅览室,体育休闲服务,娱乐场所,网吧,车城西一路129号5,四川省,成都市,龙泉驿区,104.1857547,30.54934188
麦克风(星光东路),体育休闲服务,娱乐场所,KTV,星光东路238-242,四川省,成都市,龙泉驿区,104.2562746,30.55453369
根据地(星光东路),体育休闲服务,娱乐场所,酒吧,星光东路340-342,四川省,成都市,龙泉驿区,104.2546038,30.55519698
红高粱,体育休闲服务,娱乐场所,酒吧,星光东路322-326,四川省,成都市,龙泉驿区,104.2548876,30.55506095
狂野,体育休闲服务,娱乐场所,酒吧,星光东路232号,四川省,成都市,龙泉驿区,104.2561307,30.55458073
太阳雨(星光东路),体育休闲服务,娱乐场所,KTV,星光东路190-192,四川省,成都市,龙泉驿区,104.2571998,30.55415649
醉浪漫,体育休闲服务,娱乐场所,酒吧,星光东路302号,四川省,成都市,龙泉驿区,104.2552373,30.55488191
R调酒吧,体育休闲服务,娱乐场所,酒吧,星光东路304-308,四川省,成都市,龙泉驿区,104.2551834,30.55491891
紫萝兰,体育休闲服务,娱乐场所,KTV,星光东路266-270,四川省,成都市,龙泉驿区,104.2558229,30.5546668
康乐娱乐活动中心,体育休闲服务,休闲场所,休闲场所,兴茂东街与天茂路交叉口北100米,四川省,成都市,龙泉驿区,104.254443,30.55155725
醉吧,体育休闲服务,娱乐场所,KTV,星光东路198号,四川省,成都市,龙泉驿区,104.2570829,30.55420752
帝豪酒吧(星光东路),体育休闲服务,娱乐场所,酒吧,星光东路204-206,四川省,成都市,龙泉驿区,104.256976,30.55425054
爱尚酒吧(成环路),体育休闲服务,娱乐场所,酒吧,航天北路354-356号,四川省,成都市,龙泉驿区,104.2536803,30.55684267
飞扬酒吧(星光东路),体育休闲服务,娱乐场所,酒吧,星光东路272-276号,四川省,成都市,龙泉驿区,104.255719,30.55470082
钱柜酒吧(成环路),体育休闲服务,娱乐场所,酒吧,航天北路409号,四川省,成都市,龙泉驿区,104.2540331,30.55542406
凯凯酒吧(乙区西南),体育休闲服务,娱乐场所,酒吧,星光东路278-284,四川省,成都市,龙泉驿区,104.255611,30.55473684
凯凯酒吧(星光东路),体育休闲服务,娱乐场所,酒吧,星光东路326号,四川省,成都市,龙泉驿区,104.2549725,30.55502394
蓝雪儿,体育休闲服务,娱乐场所,KTV,星光东路186-188,四川省,成都市,龙泉驿区,104.2572748,30.55411248
天黑酒吧,体育休闲服务,娱乐场所,酒吧,星光东路180号,四川省,成都市,龙泉驿区,104.257034,30.55422353
银座纯K(龙泉店),体育休闲服务,娱乐场所,KTV,航天南路18号山水时尚酒店,四川省,成都市,龙泉驿区,104.2496339,30.54929688
九九吧,体育休闲服务,娱乐场所,KTV,星光东路194-196,四川省,成都市,龙泉驿区,104.2571339,30.5541835
西江月,体育休闲服务,娱乐场所,棋牌室,兴茂东街323-327号,四川省,成都市,龙泉驿区,104.2535187,30.55088072
蓝海酒吧(万源路),体育休闲服务,娱乐场所,酒吧,星光东路150-154,四川省,成都市,龙泉驿区,104.2580372,30.55380228
2012酒吧,体育休闲服务,娱乐场所,酒吧,星光东路208号,四川省,成都市,龙泉驿区,104.2571039,30.5542415
七彩,体育休闲服务,娱乐场所,酒吧,星光东路244号,四川省,成都市,龙泉驿区,104.2562016,30.55456271
主流网咖(馨怡店),体育休闲服务,娱乐场所,网吧,柏合镇蔚蓝路2号3号楼13-15号,四川省,成都市,龙泉驿区,104.2553195,30.54874994
馨怡网城,体育休闲服务,娱乐场所,网吧,蔚蓝路56-62号,四川省,成都市,龙泉驿区,104.2553445,30.54872994
蓝调,体育休闲服务,娱乐场所,酒吧,航天南路65号,四川省,成都市,龙泉驿区,104.2516978,30.55109901
七夜,体育休闲服务,娱乐场所,娱乐场所,近郊雅仕路73号,四川省,成都市,龙泉驿区,104.2514539,30.55059822
2012KTV(星光东路),体育休闲服务,娱乐场所,KTV,星光东路208-210,四川省,成都市,龙泉驿区,104.2569041,30.55427856
星歌KTV(千禧店),体育休闲服务,娱乐场所,KTV,鲸龙路351号附近,四川省,成都市,龙泉驿区,104.2578016,30.54767842
航天城休闲体育中心,体育休闲服务,运动场馆,户外健身场所,平江南路与铜江南路交叉口东100米航天城乙5区附近,四川省,成都市,龙泉驿区,104.2563894,30.55691984
龙泉街道平江路社区文化活动广场,体育休闲服务,休闲场所,休闲场所,燎原南路32号附近,四川省,成都市,龙泉驿区,104.256816,30.55679773
浪漫(长征北路),体育休闲服务,娱乐场所,酒吧,星光东路68附50-54,四川省,成都市,龙泉驿区,104.2594359,30.55323487
酒库(长征北路),体育休闲服务,娱乐场所,酒吧,长征北路31号,四川省,成都市,龙泉驿区,104.2609294,30.55650903
太平洋影城(成都龙泉店),体育休闲服务,影剧院,电影院,鲸龙路123号福泉中心5层,四川省,成都市,龙泉驿区,104.2591034,30.55023902
情感驿站,体育休闲服务,娱乐场所,KTV,星光东路128-132,四川省,成都市,龙泉驿区,104.2584858,30.55365315
起点酒吧(长征北路),体育休闲服务,娱乐场所,酒吧,长征北路163-165号,四川省,成都市,龙泉驿区,104.2596517,30.5540265
畅响酒吧,体育休闲服务,娱乐场所,酒吧,星光东路126号,四川省,成都市,龙泉驿区,104.2585847,30.55361312
蓝调酒吧(长征北路),体育休闲服务,娱乐场所,酒吧,星光东路68附44-46,四川省,成都市,龙泉驿区,104.2595169,30.55321084
主流网咖(时空店),体育休闲服务,娱乐场所,网吧,龙泉镇长柏路108号109地质队3号综合楼13-18号,四川省,成都市,龙泉驿区,104.2662505,30.55685967
万源路社区文化休闲广场,科教文化服务,文化宫,文化宫|体育休闲服务,星光东路与长征北路交叉口东50米,四川省,成都市,龙泉驿区,104.2595059,30.55301991
炫音酒吧,体育休闲服务,娱乐场所,酒吧,星光东路98-100号,四川省,成都市,龙泉驿区,104.2588874,30.55349303
紫夜酒吧(长征北路),体育休闲服务,娱乐场所,酒吧,天生路与长征北路交叉口南150米,四川省,成都市,龙泉驿区,104.2608904,30.55643008
飞扬酒吧,体育休闲服务,娱乐场所,酒吧,长征北路197号附近,四川省,成都市,龙泉驿区,104.259373,30.5535208
漂亮声活,体育休闲服务,娱乐场所,KTV,长征北路195-203号,四川省,成都市,龙泉驿区,104.2594439,30.55363273
桃园酒吧,体育休闲服务,娱乐场所,酒吧,星光东路104-108,四川省,成都市,龙泉驿区,104.2588555,30.55350804
发烧网吧,体育休闲服务,娱乐场所,网吧,驿生路267-271号,四川省,成都市,龙泉驿区,104.2638743,30.55671429
迷尚酒吧,体育休闲服务,娱乐场所,酒吧,星光东路118-124,四川省,成都市,龙泉驿区,104.2586546,30.5535821
京都网咖(星光东路),体育休闲服务,娱乐场所,网吧,龙泉街道星光东路99号霏红榭一期,四川省,成都市,龙泉驿区,104.2645279,30.54981721
维多利亚(长征北路),体育休闲服务,娱乐场所,酒吧,长征北路147-151号,四川省,成都市,龙泉驿区,104.2598715,30.55447925
星光KTV(星光东路),体育休闲服务,娱乐场所,KTV,星光东路68附30,四川省,成都市,龙泉驿区,104.2597107,30.55315177
夜色(星光东路),体育休闲服务,娱乐场所,酒吧,星光东路98-100附近,四川省,成都市,龙泉驿区,104.2587445,30.55355207
热辣,体育休闲服务,娱乐场所,酒吧,星光东路110-112,四川省,成都市,龙泉驿区,104.2588145,30.55352805
鑫起点网咖,体育休闲服务,娱乐场所,网吧,龙泉街道星光东路99号,四川省,成都市,龙泉驿区,104.2645109,30.54978223
星月物语网咖,体育休闲服务,娱乐场所,网吧,长征北路89-93号,四川省,成都市,龙泉驿区,104.2604369,30.5555686
佳乐迪纯K(龙泉店),体育休闲服务,娱乐场所,KTV,龙泉街道鲸龙路118号福泉中心4楼,四川省,成都市,龙泉驿区,104.2586618,30.54993932
龙泉镇时空网吧,体育休闲服务,娱乐场所,网吧,龙泉镇长柏路恒心苑9-10号,四川省,成都市,龙泉驿区,104.2644157,30.55542539
首创网咖,体育休闲服务,娱乐场所,网吧,长柏路273号,四川省,成都市,龙泉驿区,104.2655045,30.55529572
疯狂娃娃,体育休闲服务,体育休闲服务场所,体育休闲服务场所,鲸龙路福泉中心4楼,四川省,成都市,龙泉驿区,104.2589735,30.55000016
伯林健身(福泉中心店),体育休闲服务,运动场馆,健身中心,福泉中心6层,四川省,成都市,龙泉驿区,104.2591034,30.55023902
缘谊网吧,体育休闲服务,娱乐场所,网吧,驿生路256-258号,四川省,成都市,龙泉驿区,104.2635696,30.55651455
果然网吧,体育休闲服务,娱乐场所,网吧,万源路353-355号,四川省,成都市,龙泉驿区,104.2583438,30.55479782
99网咖,体育休闲服务,娱乐场所,网吧,长征北路121-125号,四川省,成都市,龙泉驿区,104.2599694,30.55475411
四个火枪手,体育休闲服务,运动场馆,健身中心,鲸龙路123号福泉中心3层,四川省,成都市,龙泉驿区,104.2592553,30.54946621
乐极限网吧,体育休闲服务,娱乐场所,网吧,驿生路228号,四川省,成都市,龙泉驿区,104.2636985,30.55694033
天使梦水吧KTV,体育休闲服务,娱乐场所,KTV,长柏路208-214,四川省,成都市,龙泉驿区,104.2651839,30.55545888
开心贝贝儿童乐园,体育休闲服务,休闲场所,游乐场,鲸龙路福泉中心三楼,四川省,成都市,龙泉驿区,104.2591554,30.54940428
飘渺休闲居,体育休闲服务,娱乐场所,棋牌室,星光东路南200米,四川省,成都市,龙泉驿区,104.2647207,30.54912431
蓝蝶,体育休闲服务,娱乐场所,娱乐场所,长征北路35号,四川省,成都市,龙泉驿区,104.2609084,30.55646706
朝酒晚舞(万源路),体育休闲服务,娱乐场所,酒吧,星光东路138-142,四川省,成都市,龙泉驿区,104.258269,30.55372021
暑来宝儿童游乐城(龙泉店),体育休闲服务,休闲场所,游乐场,柏合镇鲸龙路329号长远综合市场综合楼3栋1层1号,四川省,成都市,龙泉驿区,104.2586479,30.54758411
暑来宝(龙泉店),体育休闲服务,休闲场所,游乐场,柏合镇鲸龙路349号龙泉最大的游乐城,四川省,成都市,龙泉驿区,104.2586479,30.54758411
沁园机麻,体育休闲服务,娱乐场所,棋牌室,燃灯寺路402号附近,四川省,成都市,龙泉驿区,104.2658973,30.5485967
鼎域网咖(沸点店),体育休闲服务,娱乐场所,网吧,龙泉镇驿生路234-242号,四川省,成都市,龙泉驿区,104.2637255,30.55678636
主题·咖啡酒吧,体育休闲服务,娱乐场所,酒吧,桃园路与鸥鹏大道交叉口南150米,四川省,成都市,龙泉驿区,104.2733051,30.55433068
半山家院休闲山庄,体育休闲服务,休闲场所,休闲场所,长白路社区九组39号,四川省,成都市,龙泉驿区,104.2754309,30.5519254
弹酒馆酒吧,体育休闲服务,娱乐场所,酒吧,,四川省,成都市,龙泉驿区,104.2703044,30.55331172
桃韵农家乐,体育休闲服务,休闲场所,休闲场所|餐饮服务,桃园路,四川省,成都市,龙泉驿区,104.2722448,30.55012708
半山家院,体育休闲服务,休闲场所,休闲场所,长柏路社区9组39号区医院斜对面区医院小卖部,四川省,成都市,龙泉驿区,104.2764423,30.5526631
桃园明珠,餐饮服务,中餐厅,中餐厅|体育休闲服务,桃花沟路,四川省,成都市,龙泉驿区,104.2720022,30.54938355
飞凡网吧,体育休闲服务,娱乐场所,网吧,欧鹏大道358号长柏村,四川省,成都市,龙泉驿区,104.2701866,30.55309889
桃源春农家乐,体育休闲服务,休闲场所,休闲场所,桃花沟桃园路57号,四川省,成都市,龙泉驿区,104.2708778,30.54941453
起点飞尚单车俱乐部,体育休闲服务,休闲场所,休闲场所|购物服务,欧鹏大道480号,四川省,成都市,龙泉驿区,104.2755277,30.55432649
速龙网咖,体育休闲服务,娱乐场所,网吧,永溪街138号,四川省,成都市,龙泉驿区,104.2685937,30.5548496
金桃元电玩城,体育休闲服务,娱乐场所,游戏厅,鸥鹏大道307号,四川省,成都市,龙泉驿区,104.27259,30.55690148
震撼力网吧,体育休闲服务,娱乐场所,网吧,"欧鹏大道287号(桃花沟,区政府)",四川省,成都市,龙泉驿区,104.2723504,30.55716961
龙泉街道长柏路社区老年活动中心,体育休闲服务,休闲场所,休闲场所,新长路与酱园南街交叉口西50米,四川省,成都市,龙泉驿区,104.2688123,30.55693072
老兵野战营真人CS(龙泉野战基地店),体育休闲服务,运动场馆,运动场所,第一人民医院上行500米安营扎寨内,四川省,成都市,龙泉驿区,104.2772148,30.55681488
市民阳光健身步道,体育休闲服务,运动场馆,户外健身场所,滨河路与318国道交叉口东100米,四川省,成都市,龙泉驿区,104.2793463,30.5550781
净养山居,体育休闲服务,体育休闲服务场所,体育休闲服务场所,318国道附近,四川省,成都市,龙泉驿区,104.2835887,30.55319862
湖山顺,体育休闲服务,休闲场所,休闲场所,318国道东50米,四川省,成都市,龙泉驿区,104.2806041,30.55541353
河边农家土味馆,体育休闲服务,休闲场所,休闲场所|餐饮服务,老成渝路20公里处,四川省,成都市,龙泉驿区,104.2836215,30.55612359
四方缘,体育休闲服务,休闲场所,休闲场所,阳光健身步道上,四川省,成都市,龙泉驿区,104.2835061,30.54802445
湖光花香农家乐,体育休闲服务,体育休闲服务场所,体育休闲服务场所,,四川省,成都市,龙泉驿区,104.2829741,30.54730736
世外桃源(飞龙山庄东北),体育休闲服务,休闲场所,休闲场所,老成渝路318国道22公里处,四川省,成都市,龙泉驿区,104.2940533,30.55204425
四季园,体育休闲服务,休闲场所,休闲场所,联合村,四川省,成都市,龙泉驿区,104.2930655,30.55077918
半亩地(飞龙山庄西北),体育休闲服务,休闲场所,休闲场所,山泉镇联合村8组,四川省,成都市,龙泉驿区,104.289513,30.55231691
桃花居农家乐,体育休闲服务,休闲场所,休闲场所,老成渝公路22公里处,四川省,成都市,龙泉驿区,104.2923759,30.55243867
生态山庄,体育休闲服务,度假疗养场所,度假村,318国道北50米,四川省,成都市,龙泉驿区,104.2911885,30.55166969
桃花坡,体育休闲服务,休闲场所,休闲场所,318国道东100米,四川省,成都市,龙泉驿区,104.2933508,30.55188838
乡村鹅农家乐,体育休闲服务,休闲场所,休闲场所,联合村老成渝路山泉加油站旁,四川省,成都市,龙泉驿区,104.2912613,30.5516186
邹家桃园,体育休闲服务,休闲场所,休闲场所,318国道西50米,四川省,成都市,龙泉驿区,104.2944065,30.5520457
木台子,餐饮服务,中餐厅,中餐厅|体育休闲服务,山泉镇联合村公交站,四川省,成都市,龙泉驿区,104.29049,30.55162073
桃源山庄,体育休闲服务,休闲场所,休闲场所,318国道22公里山泉镇联合五组33号,四川省,成都市,龙泉驿区,104.2947537,30.55180924
万家大院水蜜桃庄园,体育休闲服务,休闲场所,休闲场所,318国道东50米,四川省,成都市,龙泉驿区,104.2919419,30.55106978
同学村农家乐,体育休闲服务,休闲场所,休闲场所,318国道东50米,四川省,成都市,龙泉驿区,104.2920537,30.55083269
